iter	Passed	Remaining
0	95	18941
1	104	10310
2	115	7605
3	131	6455
4	140	5491
5	156	5058
6	167	4610
7	180	4341
8	197	4200
9	205	3908
10	220	3791
11	232	3638
12	240	3466
13	255	3396
14	272	3360
15	282	3252
16	291	3136
17	299	3030
18	313	2985
19	326	2938
20	335	2859
21	353	2862
22	366	2821
23	384	2823
24	398	2790
25	408	2731
26	417	2675
27	435	2674
28	444	2619
29	452	2564
30	470	2563
31	481	2526
32	490	2482
33	500	2442
34	516	2432
35	526	2398
36	538	2370
37	552	2355
38	568	2347
39	581	2324
40	590	2291
41	598	2250
42	609	2225
43	627	2223
44	635	2189
45	646	2165
46	664	2162
47	672	2129
48	683	2106
49	693	2079
50	707	2066
51	719	2046
52	728	2020
53	739	1998
54	754	1988
55	770	1981
56	784	1966
57	798	1954
58	811	1938
59	819	1912
60	836	1905
61	848	1888
62	860	1872
63	872	1854
64	881	1831
65	891	1809
66	907	1800
67	917	1781
68	926	1758
69	941	1748
70	955	1735
71	967	1720
72	977	1701
73	989	1684
74	1000	1667
75	1010	1649
76	1019	1628
77	1032	1614
78	1043	1598
79	1057	1585
80	1066	1566
81	1075	1547
82	1085	1530
83	1098	1517
84	1108	1500
85	1122	1487
86	1132	1470
87	1144	1456
88	1156	1442
89	1179	1441
90	1192	1427
91	1202	1411
92	1213	1396
93	1224	1380
94	1234	1364
95	1244	1347
96	1258	1336
97	1268	1319
98	1275	1301
99	1291	1291
100	1303	1277
101	1312	1261
102	1321	1244
103	1340	1236
104	1354	1225
105	1364	1210
106	1380	1200
107	1390	1184
108	1401	1170
109	1417	1159
110	1431	1147
111	1445	1135
112	1455	1120
113	1463	1104
114	1472	1088
115	1486	1076
116	1498	1063
117	1506	1047
118	1515	1031
119	1535	1023
120	1546	1009
121	1563	999
122	1572	984
123	1583	970
124	1594	956
125	1605	942
126	1613	927
127	1626	914
128	1638	902
129	1649	887
130	1657	872
131	1676	863
132	1684	848
133	1694	834
134	1710	823
135	1722	810
136	1735	797
137	1744	783
138	1754	769
139	1763	755
140	1774	742
141	1787	730
142	1795	715
143	1806	702
144	1824	691
145	1834	678
146	1841	664
147	1853	651
148	1861	637
149	1873	624
150	1884	611
151	1893	597
152	1904	584
153	1920	573
154	1935	561
155	1947	549
156	1959	536
157	1974	524
158	1982	511
159	1992	498
160	2005	485
161	2018	473
162	2034	461
163	2042	448
164	2052	435
165	2064	422
166	2084	411
167	2094	398
168	2106	386
169	2122	374
170	2132	361
171	2140	348
172	2149	335
173	2165	323
174	2172	310
175	2182	297
176	2194	285
177	2213	273
178	2224	260
179	2232	248
180	2241	235
181	2251	222
182	2264	210
183	2274	197
184	2285	185
185	2295	172
186	2308	160
187	2326	148
188	2336	135
189	2343	123
190	2361	111
191	2371	98
192	2378	86
193	2390	73
194	2409	61
195	2418	49
196	2429	37
197	2438	24
198	2450	12
199	2463	0
